№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
6661;2025-03-23;17;199;19:08:00;17:11:49;17.2138;61969;Повреждение изолятора;141986;2131;424;дождь;-6;7.4;дождь;промзона;плановый;РЭС
6662;2025-03-04;3;67;05:57:00;11:52:31;5.9253;21331;Отключение МТЗ (перегруз);10585;1440;40;облачно;-6;1.1;нет;ул. Пушкина;текущий;РЭС
6663;2025-10-21;102;8;06:59:00;18:37:50;18.6473;67130;Грозовое перенапряжение;141235;2230;362;пасмурно;5;6.0;нет;Центральный р-н;капитальный;ЖКХ
6664;2025-05-28;102;25;14:28:00;20:29:15;20.5042;73815;Повреждение трансформатора;23956;1243;53;гроза;17;13.5;дождь;промзона;капитальный;ЖКХ
6665;2025-05-03;158;8;06:50:00;08:54:05;2.0683;7445;Повреждение трансформатора;9395;1770;244;туман;19;0.6;нет;Северный мкр;текущий;ГорЭлектроСеть
6666;2025-01-10;110;2;08:36:00;17:32:58;17.5663;63238;Повреждение опоры;140407;26;379;снегопад;-17;4.1;снег;мкр. Жастар;текущий;Частный
6667;2025-11-03;11;1;03:55:00;22:52:48;18.9636;68268;Повреждение трансформатора;95027;1287;330;снегопад;5;8.4;снег;мкр. Запад;капитальный;РЭС
6668;2025-03-06;158;45;10:05:00;20:27:41;20.4781;73721;Авария на подстанции;136668;1791;436;облачно;-6;4.6;нет;промзона;аварийный;ГорЭлектроСеть
6669;2025-03-23;101;15;04:12:00;17:55:30;13.725;49410;Отключение МТЗ (КЗ);33034;1742;53;гроза;-3;6.1;дождь;ул. Лермонтова;аварийный;ГорЭлектроСеть
6670;2025-10-23;152;45;00:04:00;05:27:23;5.39;19403;Плановый ремонт;14869;1113;152;туман;15;0.1;нет;мкр. Запад;аварийный;РЭС
6671;2025-08-22;13;89;10:45:00;10:54:06;0.1517;546;Повреждение кабеля;854;640;442;снег;31;5.4;снег;промзона;аварийный;ГорЭлектроСеть
6672;2025-10-17;105;67;21:41:00;15:55:44;15.9456;57404;Повреждение опоры;156436;293;431;пасмурно;4;2.7;нет;ул. Жырау;плановый;ГорЭлектроСеть
6673;2025-01-05;11;67;02:28:00;23:07:28;23.1412;83308;Повреждение опоры;167977;981;325;облачно;-10;4.5;нет;Южный мкр;текущий;Частный
6674;2025-06-14;2;15;05:14:00;13:55:41;8.6949;31301;Обрыв провода;54725;1483;303;снегопад;31;5.7;снег;Северный мкр;аварийный;РЭС
6675;2025-09-06;101;15;00:13:00;16:55:08;16.7024;60128;Грозовое перенапряжение;57304;1216;193;ясно;16;2.7;нет;ул. Сатпаева;капитальный;ГорЭлектроСеть
6676;2025-06-17;152;15;17:23:00;18:32:24;1.1567;4164;Падение дерева;5190;1691;155;облачно;20;1.7;нет;Северный мкр;плановый;ГорЭлектроСеть
6677;2025-02-06;13;199;11:15:00;14:39:19;3.4054;12259;Повреждение изолятора;25270;564;424;туман;-16;1.0;нет;ТЭЦ-2;текущий;Частный
6678;2025-01-15;13;67;19:45:00;20:30:03;20.5178;73863;Обрыв провода;111402;432;323;гроза;-18;7.7;дождь;мкр. Восток;капитальный;РЭС
6679;2025-10-20;102;15;12:23:00;23:36:46;11.2295;40426;Отключение МТЗ (КЗ);48539;231;297;туман;11;1.5;нет;мкр. Запад;капитальный;ЖКХ
6680;2025-01-29;3;15;00:51:00;11:20:17;10.4882;37757;Повреждение опоры;71826;1821;372;пасмурно;-25;3.6;нет;мкр. Жастар;текущий;ГорЭлектроСеть
6681;2025-06-07;9;156;22:30:00;03:43:46;3.7462;13486;РПВ успешно;3824;825;35;снег;27;5.9;снег;ул. Лермонтова;капитальный;Частный
6682;2025-06-24;110;67;12:42:00;18:26:39;18.4609;66459;Повреждение трансформатора;86570;767;243;гроза;18;10.4;дождь;ул. Жансугурова;плановый;ГорЭлектроСеть
6683;2025-04-27;3;8;14:54:00;21:23:22;6.4895;23362;Повреждение изолятора;23821;156;256;снег;10;3.7;снег;промзона;плановый;РЭС
6684;2025-05-15;5;15;04:51:00;23:30:35;18.6599;67175;Повреждение кабеля;56534;640;145;облачно;14;4.2;нет;ул. Гагарина;текущий;ЖКХ
6685;2025-10-24;13;25;16:09:00;19:58:53;19.9981;71993;Обрыв провода;116218;1655;268;дождь;15;5.5;дождь;ул. Толе би;капитальный;Частный
6686;2025-02-06;158;25;21:14:00;19:27:44;19.4791;70124;Наезд авто на опору;162427;2225;373;гроза;-6;11.0;дождь;Южный мкр;капитальный;Частный
6687;2025-04-11;152;67;06:42:00;09:36:21;2.9058;10461;Авария на подстанции;4232;1021;34;пасмурно;8;5.2;нет;ул. Толе би;плановый;ГорЭлектроСеть
6688;2025-06-02;101;25;22:16:00;02:51:16;2.8711;10336;Плановый ремонт;9895;1592;197;туман;30;1.4;нет;ул. Гагарина;текущий;Частный
6689;2025-01-30;152;178;06:28:00;17:47:10;17.8028;64090;Отключение МТЗ;53039;1246;103;дождь;-14;4.9;дождь;мкр. Восток;капитальный;ЖКХ
6690;2025-02-08;110;2;03:10:00;18:32:31;15.3753;55351;Отключение МТЗ (КЗ);59075;2422;113;дождь;-18;7.4;дождь;ул. Гагарина;аварийный;ЖКХ
6691;2025-12-10;105;132;14:18:00;10:22:19;10.3888;37399;Падение дерева;29193;1832;140;пасмурно;-6;2.6;нет;ул. Лермонтова;плановый;Частный
6692;2025-10-10;7;15;20:52:00;22:35:10;1.7196;6190;Отключение МТЗ;10743;1041;292;ясно;9;0.3;нет;мкр. Орбита;текущий;ЖКХ
6693;2025-10-31;102;67;07:47:00;09:25:59;1.65;5939;Авария на подстанции;9549;2386;343;пасмурно;12;5.7;нет;ул. Толе би;аварийный;ГорЭлектроСеть
6694;2025-01-27;5;1;11:35:00;15:35:51;15.6143;56211;Падение дерева;63617;1978;128;туман;-9;0.3;нет;ул. Абая;капитальный;РЭС
6695;2025-11-11;7;156;15:57:00;09:09:24;9.1735;33024;Грозовое перенапряжение;7190;433;43;снег;2;3.1;снег;Центральный р-н;текущий;ГорЭлектроСеть
6696;2025-08-15;152;2;16:36:00;15:13:35;15.2433;54875;Отключение МТЗ (перегруз);76726;96;280;облачно;20;2.3;нет;ул. Толе би;плановый;Частный
6697;2025-09-04;7;178;18:44:00;05:43:52;5.748;20692;Повреждение опоры;33545;240;302;ясно;13;0.8;нет;ул. Лермонтова;текущий;ГорЭлектроСеть
6698;2025-01-08;15;132;04:20:00;21:37:49;17.297;62269;Грозовое перенапряжение;68225;2153;111;дождь;-13;4.9;дождь;ул. Толе би;аварийный;Частный
6699;2025-01-17;102;132;05:12:00;16:33:23;11.3566;40883;Наезд авто на опору;76442;205;341;пасмурно;-21;5.8;нет;ул. Жырау;текущий;ГорЭлектроСеть
6700;2025-07-16;13;67;19:34:00;05:51:55;5.8821;21175;Повреждение изолятора;39199;1206;422;снег;29;4.8;снег;ул. Лермонтова;плановый;ГорЭлектроСеть
6701;2025-01-20;13;32;23:37:00;18:27:34;18.4761;66514;Обрыв провода;43436;430;127;гроза;-9;8.5;дождь;Южный мкр;капитальный;ЖКХ
6702;2025-08-17;101;199;20:10:00;22:45:54;22.7817;82014;Отключение МТЗ (КЗ);94280;957;255;гроза;19;6.3;дождь;мкр. Запад;плановый;Частный
6703;2025-11-10;11;199;04:16:00;17:15:40;12.9946;46780;Отключение МТЗ (перегруз);42331;1962;89;дождь;3;6.2;дождь;Южный мкр;текущий;РЭС
6704;2025-07-21;110;15;16:33:00;17:59:58;1.4495;5218;Повреждение опоры;4012;1182;92;гроза;34;9.2;дождь;мкр. Орбита;аварийный;Частный
6705;2025-01-22;3;45;10:09:00;20:13:33;20.2427;72873;Повреждение трансформатора;81592;208;225;туман;-17;1.7;нет;ул. Лермонтова;текущий;ЖКХ
6706;2025-10-09;15;1;19:27:00;19:50:18;19.8552;71478;РПВ успешно;72081;818;227;ясно;12;0.2;нет;Северный мкр;капитальный;ЖКХ
6707;2025-03-21;102;45;00:59:00;19:06:46;18.1296;65266;Наезд авто на опору;158368;2079;408;снег;-2;5.7;снег;ул. Гагарина;аварийный;РЭС
6708;2025-05-15;7;2;11:11:00;16:10:22;4.9896;17962;Отключение МТЗ (КЗ);8591;140;113;ясно;20;1.7;нет;ул. Жансугурова;капитальный;ГорЭлектроСеть
6709;2025-02-19;101;2;17:50:00;15:26:04;15.4513;55624;Повреждение трансформатора;48401;1184;221;облачно;-6;2.8;нет;ул. Лермонтова;капитальный;РЭС
6710;2025-12-04;158;25;10:54:00;19:00:25;8.1071;29185;Отключение МТЗ;5094;309;29;пасмурно;-8;2.1;нет;Центральный р-н;аварийный;ГорЭлектроСеть
6711;2025-01-23;105;67;17:05:00;15:59:27;16.0075;57627;Отключение МТЗ;90983;1625;344;снегопад;-23;9.3;снег;промзона;текущий;ГорЭлектроСеть
6712;2025-08-21;3;45;21:22:00;08:46:52;8.7979;31672;Отключение МТЗ;18130;990;62;облачно;32;1.6;нет;ул. Жансугурова;аварийный;ГорЭлектроСеть
6713;2025-07-15;101;2;23:24:00;03:50:13;3.8538;13873;Обрыв провода;19093;474;297;ясно;25;1.6;нет;ул. Лермонтова;плановый;ГорЭлектроСеть
6714;2025-07-09;17;67;00:21:00;03:39:45;3.3126;11925;Падение дерева;15918;1683;207;снег;23;2.9;снег;ул. Валиханова;аварийный;ЖКХ
6715;2025-12-15;2;1;22:10:00;22:33:41;0.3949;1421;Грозовое перенапряжение;1828;1467;199;туман;-6;1.3;нет;Южный мкр;текущий;ГорЭлектроСеть
6716;2025-09-12;17;9;07:07:00;20:10:02;20.1841;72662;Повреждение опоры;75159;2415;173;снег;17;3.8;снег;ул. Сатпаева;капитальный;Частный
6717;2025-08-07;101;1;19:23:00;07:30:26;7.5241;27086;Повреждение трансформатора;51308;2010;292;дождь;23;7.9;дождь;мкр. Орбита;текущий;ЖКХ
6718;2025-02-09;17;2;00:21:00;23:03:11;22.7033;81731;Отключение МТЗ (КЗ);46896;174;123;дождь;-17;4.0;дождь;ул. Сатпаева;плановый;Частный
6719;2025-03-06;158;199;13:55:00;14:48:44;0.8957;3224;Отключение МТЗ (КЗ);5686;2054;239;дождь;-6;7.7;дождь;мкр. Восток;капитальный;РЭС
6720;2025-06-03;13;32;11:29:00;13:12:37;13.2272;47617;Обрыв провода;93007;534;372;снег;30;3.1;снег;ул. Толе би;аварийный;Частный
6721;2025-04-15;15;32;22:44:00;14:50:45;14.8626;53505;Повреждение кабеля;38341;1971;64;облачно;3;3.2;нет;промзона;аварийный;ЖКХ
6722;2025-03-10;7;67;15:59:00;10:10:16;10.1879;36676;Отключение МТЗ;63961;1899;270;снег;4;3.4;снег;ул. Гагарина;плановый;Частный
6723;2025-09-30;152;15;15:01:00;17:46:59;17.7998;64079;Повреждение опоры;117947;2139;267;облачно;20;4.2;нет;ул. Толе би;текущий;ГорЭлектроСеть
6724;2025-07-01;17;9;16:17:00;23:05:53;6.8149;24533;Отключение МТЗ (перегруз);35938;2130;289;дождь;31;3.1;дождь;ул. Лермонтова;текущий;ЖКХ
6725;2025-12-23;11;9;22:01:00;17:49:53;17.8482;64253;Отключение МТЗ;67500;1983;142;облачно;-5;4.3;нет;мкр. Орбита;капитальный;ЖКХ
6726;2025-05-15;3;1;09:07:00;13:33:19;4.4386;15979;Повреждение трансформатора;22275;217;232;снегопад;13;5.2;снег;ул. Валиханова;капитальный;ГорЭлектроСеть
6727;2025-01-06;152;1;08:06:00;11:19:46;3.2296;11626;Отключение МТЗ (перегруз);30028;454;449;туман;-14;0.7;нет;Центральный р-н;капитальный;ЖКХ
6728;2025-11-22;158;8;07:07:00;23:42:39;23.7277;85419;Падение дерева;191084;1956;351;снегопад;0;7.9;снег;ТЭЦ-2;капитальный;ЖКХ
6729;2025-01-03;152;45;10:54:00;22:55:47;22.9465;82607;Отключение МТЗ;130399;406;256;гроза;-22;10.9;дождь;промзона;капитальный;ЖКХ
6730;2025-04-14;158;15;21:54:00;19:00:17;19.0216;68477;Грозовое перенапряжение;129780;1147;374;снегопад;14;6.7;снег;ул. Сатпаева;плановый;Частный
6731;2025-01-21;15;15;10:36:00;13:54:27;13.9243;50127;Повреждение кабельной линии;72999;1022;330;снег;-13;2.0;снег;ул. Толе би;плановый;ЖКХ
6732;2025-07-27;105;15;22:01:00;05:50:13;5.8537;21073;Авария на подстанции;11617;472;106;ясно;30;2.9;нет;ул. Сатпаева;капитальный;Частный
6733;2025-07-03;158;15;21:39:00;21:48:46;21.8297;78586;Грозовое перенапряжение;177492;611;387;гроза;26;9.0;дождь;ТЭЦ-2;текущий;РЭС
6734;2025-05-12;9;67;01:55:00;14:45:41;12.8449;46241;РПВ успешно;93241;2065;378;пасмурно;11;5.9;нет;ул. Жансугурова;капитальный;ГорЭлектроСеть
6735;2025-04-07;2;89;07:07:00;14:14:34;7.1263;25654;Повреждение изолятора;18037;2341;38;гроза;11;10.2;дождь;ул. Сатпаева;аварийный;ЖКХ
6736;2025-06-30;102;1;02:07:00;22:53:17;20.7715;74777;Обрыв провода;149930;2418;329;пасмурно;27;3.8;нет;мкр. Жастар;плановый;ГорЭлектроСеть
6737;2025-12-11;17;178;00:26:00;19:53:49;19.4636;70069;Отключение МТЗ (перегруз);133149;1677;253;ясно;-10;2.8;нет;Центральный р-н;текущий;РЭС
6738;2025-06-28;101;67;04:34:00;22:58:20;18.4058;66260;Обрыв провода;62216;653;192;снег;18;4.0;снег;ул. Жырау;капитальный;Частный
6739;2025-03-11;15;199;11:40:00;13:02:11;1.3697;4931;Отключение МТЗ;8771;2487;249;туман;-3;1.5;нет;мкр. Жастар;плановый;РЭС
6740;2025-11-30;7;8;07:12:00;18:39:41;18.6781;67241;Падение дерева;54284;1528;163;пасмурно;-5;4.4;нет;ул. Гагарина;капитальный;ГорЭлектроСеть
